,hex10,start_time,alerts,interactions
31,8a8e62c50daffff,2019-05-21 20:15:00.000,1,3
32,8a8e62c50daffff,2019-07-18 00:32:00.000,1,3
33,8a8e62c52c0ffff,2018-11-07 13:12:00.000,1,15
34,8a8e62c52c0ffff,2019-07-21 02:36:00.000,1,3
35,8a8e62c52c2ffff,2018-10-28 13:03:00.000,1,3
36,8a8e62c52c77fff,2018-11-07 12:04:00.000,1,4
37,8a8e62c52c77fff,2018-11-07 12:22:00.000,1,5
38,8a8e62c52caffff,2018-11-12 23:59:00.000,1,4
39,8a8e62c52cc7fff,2018-11-07 13:52:00.000,1,5
40,8a8e62c52ce7fff,2019-03-01 00:36:00.000,1,1
41,8a8e62c52cf7fff,2018-10-25 15:50:00.000,1,11
42,8a8e62c52d47fff,2018-11-07 12:04:00.000,1,1
43,8a8e62c52d4ffff,2018-11-18 11:13:00.000,1,4
44,8a8e62c52d4ffff,2019-01-08 00:39:00.000,1,2
45,8a8e62c52d4ffff,2019-03-27 07:55:00.000,1,1
46,8a8e62c52d5ffff,2018-11-07 13:45:00.000,1,7
